token,utterance
AB형 혈액형을,2
AB형에 대한,2
3D 업종까지,1
company-name5는 소고기,1
company-name7이라고 20대,1
company-name7라고 거기를,1
company-name5이라는 짬뽕,1
company-name5에서 가장,1
company-name5에 12만,1
company-name5를 여러,1
company-name5를 보면서,1
company-name5는 한,1
company-name5는 노량진에서,1
name1과 만날,1
company-name5가 더,1
company-name4이 신라,1
company-name4에 가서,1
company-name4도 괜찮다고,1
company-name4가 작명,1
company-name3은 홍보가,1
company-name3은 저렴한,1
company-name는 가보지,1
name1도 독립,1
company-name2이 아르바이트를,1
name6이를 추가한,1
"화자SD2100583은 용인,",1
top 5에,1
others1의 영상을,1
name이 출연한,1
name에게 실망했다고,1
name7이가 아저씨들과,1
name6이의 수비,1
name6이 공격수를,1
name1이 요가,1
name5이나 자신은,1
name5이가 다리가,1
name5랑 얘기,1
name4와 name5이가,1
name4는 몸이,1
name3의 결혼식,1
name2도 관절이,1
company-name2이라고 진짜,1
company-name2는 일본,1
7kg 뺀,1
C와 비타민,1
J의 차이가,1
J가 되고,1
ISTJ인 친구와,1
ENTP로 나왔다고,1
ENTJ가 되고,1
ENFP와 본인의,1
D를 먹고,1
A형의 특성이,1
"MBTI에서는 INFP로,",1
A형에 대한,1
AI 면접을,1
AI 면접은,1
AI 면접에,1
AI 면접과,1
AB형처럼 보여지고,1
AB형이고 혈액형,1
K팝 댄스,1
N과 현실,1
company-name1이 하는,1
TV 프로그램과,1
company-name1이 곱창,1
company-name1을 보면,1
company-name1에 그,1
company-name1 세트가,1
T와 F는,1
TV로 본다고,1
TV 프로그램에서,1
S의 차이가,1
OTT 플랫폼과,1
"SF, 드라마",1
SF 기술력이,1
P와 계획적인,1
PT를 했다고,1
PD가 만든,1
O형이며 사람들과,1
O형이고 AB형이,1
"화자SD2100597에게 물었으며,",1
